Accession	genome_disposition
QMOL01	Yes
FLYP01	Yes
NC_003361	Yes
NC_003361	Yes
NC_007899	Yes
NA	No
NA	No
CP004033.1	Yes
CP004035.1	Yes
CP004035.1	Yes
AZBC01	Yes
AZBB01	Yes
AZBD01	Yes
AZBE01	Yes
LFRH01	Yes
LFRK01	Yes
LFRL01	Yes
NC_015408	Yes
CP004033.1	Yes
CP004035.1	Yes
AZBB01	Yes
AZBD01	Yes
LFRH01	Yes
AYKJ01	Yes
FTQU0	Yes
FTPX01	Yes
FTPX01	Yes
FTQQ01	Yes
FTQK01	Yes
FTPW01	Yes
FTQN01	Yes
FTQT01	Yes
FTQH01	Yes
FTQD01	Yes
FSSG02	Yes
FTPZ01	Yes
NZ_LT999999	Yes
FTQJ01	Yes
FTQU01	Yes
FTQP01	Yes
NZ_LS398097	Yes
FTPY01	Yes
FTQL01	Yes
FTQR01	Yes
NZ_LT860207	Yes
NA	No
NA	No
AY096805.1	Yes
NA	No
NA	No
NA	No
NA	No
NA	No
NA	No
NA	No
NA	No
NA	No
NA	No
NA	No
NA	No
CP001886.1	Yes
CP001887.1	Yes
CP001888	Yes
CP001889.1	Yes
CP001890.1	Yes
CP001930.1	Yes
CP002052.1	Yes
CP002054.1	Yes
CP002024.1	Yes
NA	No
NA	No
JN795309.1	Yes
NA	No
NA	No
NA	No
NA	No
NA	No
NA	No
NA	No
NA	No
NA	No
NA	No
NA	No
NA	No
NA	No
NA	No
NA	No
NA	No
NA	No
NA	No
NA	No
NA	No
NA	No
NA	No
NA	No
NA	No
NA	No
CP003963.1	Yes
CP003965.1	Yes
CP002671.1	Yes
CP002672.1	Yes
CP002673.1	Yes
CP002674.1	Yes
CP002675.1	Yes
CP002676.1	Yes
CP002677.1	Yes
CP002678.1	Yes
CP002679.1	Yes
CP002680.1	Yes
CP002681.1	Yes
CP002682.1	Yes
CP006671.1	Yes
CP006672.1	Yes
CP006673.1	Yes
CP006674.1	Yes
CP006675.1	Yes
CP006676.1	Yes
CP006677.1	Yes
CP006678.1	Yes
CP006679.1	Yes
CP006680.1	Yes
NC_023060	Yes
NC_010280	Yes
CP009923	Yes
CP007131.1	Yes
CP010567.1	Yes
CP010569	Yes
CP010571	Yes
CP015294.1	Yes
CP015296.1	Yes
CP015298.1	Yes
CP015300.1	Yes
CP015304.1	Yes
CP015306	Yes
CP019385.1	Yes
CP019386	Yes
CP019387.1	Yes
CP017730.1	Yes
CP017731.1	Yes
CP017732.1	Yes
CP017733.1	Yes
CP017734.1	Yes
CP017735.1	Yes
CP017736.1	Yes
CP017737.1	Yes
CP017738.1	Yes
CP017739.1	Yes
CP017740.1	Yes
CP017741.1	Yes
CP017742.1	Yes
CP017743.1	Yes
CP017744.1	Yes
CP017745.1	Yes
CP017746.1	Yes
NC_010287.1	Yes
NA	No
NA	No
NA	No
FN652779	Yes
NA	No
HE601804	Yes
HE601805	Yes
HF562298	Yes
HF562300	Yes
NA	No
NA	No
NA	No
NA	No
HE601795	Yes
NA	No
NA	No
NA	No
NA	No
NA	No
HE601806	Yes
HE601807	Yes
HE601808	Yes
HE601809	Yes
NA	No
HE601949	Yes
HE601950	Yes
HE601951	Yes
HE601952	Yes
NA	No
HE601954	Yes
HE601955	Yes
HE601956	Yes
HE601957	Yes
HE601958	Yes
HE601959	Yes
NA	No
HE601961	Yes
HE601962	Yes
HE601963	Yes
HE601964	Yes
HE601965	Yes
HE605380	Yes
NA	No
CSTK01	Yes
CSTJ01	Yes
CSTN01	Yes
CSTQ01	Yes
CSTQ01	Yes
CTBL01	Yes
CVNB01	Yes
NA	No
CVND01	Yes
CVNI01	Yes
CVNJ01	Yes
CVNK01	Yes
CVNL01	Yes
CVNM01	Yes
CVNN01	Yes
CVNP01	Yes
NA	No
CVNR01	Yes
NA	No
CVNS01	Yes
CVNU01	Yes
CVNV01	Yes
CVNW01	Yes
CVNX01	Yes
CVNY01	Yes
CVOA01	Yes
CVOD01	Yes
CVOC01	Yes
CVOE01	Yes
CVPJ01	Yes
NC_000117.1	Yes
JPND01	Yes
JPND01	Yes
JPNE01	Yes
JPNG01	Yes
JPNF01	Yes
JPNH01	Yes
JPNI01	Yes
JPNJ01	Yes
JPNK01	Yes
JPNL01	Yes
JPNM01	Yes
NA	No
NC_020940	Yes
NA	No
NA	No
NC_012686	Yes
NC_016798	Yes
NC_017437	Yes
NC_020942	Yes
NC_023060	Yes
NC_012687	Yes
CP015302.1	Yes
NZ_CP016420	Yes
NZ_CP020537	Yes
CP017745.1	Yes
CP017743.1	Yes
NC_010287	Yes
NA	No
NA	No
